Pays,Population totale,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité intérieure,Importations - Quantité,Exportations - Quantité,Nourriture,Production,Pertes,Traitement,Ratio importations / (importations + production - pertes - exportations),Importations - (exportations - production),Ratio pertes / production
Maldives,496402,47.0,4.7,2.94,13.5,12.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,12.0,0.0
Mali,18512430,9.0,0.96,0.6,2.83,52.0,1.0,0.0,52.0,48.0,0.0,0.0,0.02040816326530612,49.0,0.0
Malte,437933,103.0,12.68,5.41,27.17,14.0,9.0,0.0,12.0,4.0,0.0,0.0,0.6923076923076923,13.0,0.0
Maroc,35581255,70.0,7.29,4.35,20.96,746.0,3.0,1.0,746.0,762.0,0.0,0.0,0.003926701570680628,764.0,0.0
Maurice,1264499,128.0,13.06,8.05,37.93,49.0,2.0,0.0,48.0,48.0,0.0,0.0,0.04,50.0,0.0
Mauritanie,4282570,11.0,1.59,0.51,5.14,22.0,24.0,0.0,22.0,5.0,0.0,0.0,0.8275862068965517,29.0,0.0
Mexique,124777324,123.0,9.26,9.27,32.52,4219.0,972.0,9.0,4058.0,3249.0,161.0,0.0,0.2399407553690447,4212.0,0.049553708833487226
Mongolie,3113786,9.0,0.95,0.59,2.77,9.0,10.0,0.0,9.0,0.0,0.0,0.0,1.0,10.0,0.0
Monténégro,627563,55.0,5.79,3.37,15.98,10.0,8.0,0.0,10.0,4.0,0.0,0.0,0.6666666666666666,12.0,0.0
Mozambique,28649018,13.0,1.2,0.82,3.59,116.0,24.0,0.0,103.0,92.0,4.0,9.0,0.21428571428571427,116.0,0.043478260869565216
Myanmar,53382523,116.0,9.93,8.11,30.37,1666.0,3.0,0.0,1621.0,1662.0,45.0,0.0,0.001851851851851852,1665.0,0.02707581227436823
Namibie,2402633,40.0,4.25,2.38,11.53,28.0,29.0,12.0,28.0,11.0,0.0,0.0,1.0357142857142858,28.0,0.0
Népal,27632681,7.0,0.67,0.42,1.99,58.0,0.0,0.0,55.0,58.0,3.0,0.0,0.0,58.0,0.05172413793103448
Nicaragua,6384846,93.0,6.91,7.08,21.59,138.0,6.0,0.0,138.0,143.0,0.0,0.0,0.040268456375838924,149.0,0.0
Niger,21602382,3.0,0.32,0.2,0.94,21.0,3.0,0.0,20.0,19.0,1.0,0.0,0.14285714285714285,22.0,0.05263157894736842
Nigéria,190873244,2.0,0.31,0.1,1.01,202.0,0.0,0.0,192.0,201.0,10.0,0.0,0.0,201.0,0.04975124378109453
Norvège,5296326,66.0,7.81,3.61,19.05,102.0,2.0,0.0,101.0,101.0,0.0,1.0,0.019417475728155338,103.0,0.0
Nouvelle-Calédonie,277150,136.0,14.05,8.42,38.71,11.0,9.0,0.0,11.0,1.0,0.0,0.0,0.9,10.0,0.0
Nouvelle-Zélande,4702034,140.0,12.02,9.77,34.79,168.0,1.0,23.0,164.0,223.0,0.0,10.0,0.004975124378109453,201.0,0.0
Oman,4665928,73.0,7.38,4.58,21.63,114.0,126.0,16.0,101.0,7.0,0.0,0.0,1.0769230769230769,117.0,0.0
Ouganda,41166588,5.0,0.51,0.32,1.52,66.0,0.0,0.0,62.0,65.0,3.0,0.0,0.0,65.0,0.046153846153846156
Ouzbékistan,31959785,6.0,0.63,0.4,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,207906209,20.0,1.97,1.25,5.86,1282.0,2.0,4.0,1218.0,1281.0,64.0,0.0,0.0016460905349794238,1279.0,0.04996096799375488
Panama,4106769,117.0,10.34,8.02,33.82,192.0,20.0,0.0,139.0,198.0,2.0,0.0,0.09259259259259259,218.0,0.010101010101010102
